Coimbatore,Mettupalayam,2025-05-26 06:52:54,28.21,75,3.63,overcast clouds,3.49,6.78,1
Coimbatore,Valparai,2025-05-26 06:53:05,21.87,94,3.98,moderate rain,2.82,5.74,1
Nilgiris,Coonoor,2025-05-26 06:52:04,17.37,84,3.73,overcast clouds,3.58,7.77,1
Nilgiris,Kotagiri,2025-05-26 06:59:37,18.0,74,2.21,overcast clouds,3.33,6.36,1
Nilgiris,Gudalur,2025-05-26 06:52:08,23.89,94,5.22,overcast clouds,1.94,3.72,1
Nilgiris,Wellington,2025-05-26 07:00:23,16.81,82,8.75,light rain,0.54,1.02,1
Nilgiris,Ketti,2025-05-26 06:52:26,25.84,83,2.06,few clouds,5.14,10.44,1
Nilgiris,Naduvattam,2025-05-26 07:00:41,16.58,93,4.78,overcast clouds,3.66,8.55,1
Nilgiris,Devala,2025-05-26 07:00:52,21.37,97,3.63,overcast clouds,3.82,9.65,1
Coimbatore,Coimbatore,2025-05-26 06:52:50,25.88,73,6.17,broken clouds,3.5,6.63,1
Coimbatore,Mettupalayam,2025-05-26 06:52:54,28.21,75,3.63,overcast clouds,3.49,6.78,1
Coimbatore,Valparai,2025-05-26 07:01:43,21.74,92,3.98,light rain,2.82,5.74,1
Nilgiris,Coonoor,2025-05-26 07:25:07,16.76,84,3.73,overcast clouds,3.58,7.77,1
Nilgiris,Kotagiri,2025-05-26 07:25:10,17.51,77,2.21,overcast clouds,3.33,6.36,1
Nilgiris,Wellington,2025-05-26 07:26:05,16.81,82,9.26,moderate rain,0.54,1.02,1
Nilgiris,Ketti,2025-05-26 07:26:19,26.84,78,3.09,few clouds,5.14,10.44,1
Nilgiris,Naduvattam,2025-05-26 07:26:32,16.4,92,4.78,overcast clouds,3.66,8.55,1
Nilgiris,Devala,2025-05-26 07:26:35,21.31,96,3.63,overcast clouds,3.82,9.65,1
Coimbatore,Coimbatore,2025-05-26 07:20:56,24.88,88,8.75,overcast clouds,3.5,6.63,1
Coimbatore,Pollachi,2025-05-26 07:26:37,27.19,85,10.66,overcast clouds,3.88,7.15,1
Coimbatore,Mettupalayam,2025-05-26 07:26:49,27.58,76,3.63,overcast clouds,3.49,6.78,1
Nilgiris,Ooty,2025-05-26 08:08:34,14.09,91,4.22,overcast clouds,3.68,7.82,1
Nilgiris,Coonoor,2025-05-26 08:08:46,16.72,88,3.5,overcast clouds,3.72,8.05,1
Nilgiris,Kotagiri,2025-05-26 08:08:49,17.59,80,2.62,overcast clouds,3.46,6.51,1
Nilgiris,Gudalur,2025-05-26 08:08:51,24.04,91,5.2,light rain,2.04,3.84,1
Nilgiris,Lovedale,2025-05-26 08:09:13,14.97,89,0.83,light rain,2.95,3.69,1
Nilgiris,Wellington,2025-05-26 08:09:39,16.81,77,8.75,moderate rain,0.61,1.12,1
Nilgiris,Ketti,2025-05-26 08:10:15,28.52,62,2.0,broken clouds,5.72,11.79,1
Nilgiris,Wellington,2025-05-26 08:31:01,16.81,77,8.75,heavy intensity rain,0.71,1.2,1
Nilgiris,Devala,2025-05-26 08:31:46,21.09,98,3.6,overcast clouds,4.25,10.56,1
Coimbatore,Coimbatore,2025-05-26 08:28:35,23.88,88,6.69,light intensity drizzle,3.38,6.35,1
Coimbatore,Pollachi,2025-05-26 08:31:59,26.09,86,9.62,light rain,3.5,6.25,1
Coimbatore,Mettupalayam,2025-05-26 08:30:25,28.27,75,3.9,overcast clouds,3.71,6.98,1
Coimbatore,Valparai,2025-05-26 08:32:21,21.27,92,3.39,overcast clouds,2.47,5.01,1
Nilgiris,Ooty,2025-05-26 08:37:34,14.47,90,3.9,overcast clouds,3.83,7.96,1
Nilgiris,Coonoor,2025-05-26 08:37:36,17.07,87,3.22,overcast clouds,3.84,8.12,1
Nilgiris,Kotagiri,2025-05-26 08:37:37,18.17,76,2.3,overcast clouds,3.62,6.65,1
Nilgiris,Gudalur,2025-05-26 08:30:15,23.54,93,5.83,overcast clouds,2.18,4.03,1
